elapsed_s,elapsed_hms,bus_voltage_V,shunt_voltage_mV,load_voltage_V,current_mA,power_mW
0,00:00:00,4.060,0.050,4.060,0.400,0.000
30,00:00:30,4.304,0.510,4.305,5.000,22.000
60,00:01:00,4.300,0.500,4.301,4.700,22.000
90,00:01:30,4.300,0.450,4.300,4.900,20.000
120,00:02:00,4.296,0.470,4.296,4.900,20.000
150,00:02:30,4.296,0.470,4.296,4.900,20.000
180,00:03:00,4.304,0.490,4.304,4.900,22.000
210,00:03:30,4.312,0.510,4.313,5.000,22.000
240,00:04:00,4.312,0.480,4.312,5.100,20.000
270,00:04:30,4.296,0.480,4.296,4.800,20.000
300,00:05:00,4.296,0.480,4.296,4.800,20.000
330,00:05:30,4.292,0.470,4.292,4.700,20.000
360,00:06:00,4.280,0.430,4.280,4.500,20.000
390,00:06:30,4.272,0.430,4.272,4.400,20.000
420,00:07:00,4.272,0.450,4.272,4.000,16.000
450,00:07:30,4.264,0.440,4.264,4.300,20.000
480,00:08:00,4.256,0.420,4.256,4.000,16.000
510,00:08:30,4.252,0.400,4.252,3.900,20.000
540,00:09:00,4.252,0.410,4.252,4.100,16.000
570,00:09:30,4.248,0.410,4.248,3.900,16.000
600,00:10:00,4.248,0.340,4.248,4.000,16.000
630,00:10:30,4.244,0.430,4.244,3.900,20.000
660,00:11:00,4.248,0.390,4.248,3.500,16.000
690,00:11:30,4.248,0.400,4.248,3.900,16.000
720,00:12:00,4.252,0.380,4.252,4.100,16.000
750,00:12:30,4.260,0.410,4.260,4.300,16.000
780,00:13:00,4.268,0.400,4.268,4.100,16.000
810,00:13:30,4.272,0.440,4.272,4.500,20.000
840,00:14:00,4.280,0.450,4.280,4.700,20.000
870,00:14:30,4.288,0.440,4.288,4.600,20.000
900,00:15:00,4.296,0.470,4.296,4.800,20.000
930,00:15:30,4.296,0.480,4.296,4.700,20.000
960,00:16:00,4.296,0.480,4.296,4.600,20.000
990,00:16:30,4.300,0.460,4.300,4.700,20.000
1020,00:17:00,4.312,0.500,4.313,5.100,22.000
1050,00:17:30,4.332,0.530,4.333,5.500,22.000
