millis,elapsed_hms,pv_left,pv_right,angle,bus_v,current_mA,power_mW
30000,00:00:30,1023.000,999.000,88.000,6.276,4.700,30.000
60000,00:01:00,1023.000,996.000,86.000,6.272,4.700,30.000
90000,00:01:30,1023.000,994.000,84.000,6.280,4.600,30.000
120000,00:02:00,1023.000,994.000,82.000,6.280,4.800,30.000
150000,00:02:30,1023.000,994.000,80.000,6.280,4.900,30.000
180000,00:03:00,1023.000,993.000,78.000,6.276,4.500,30.000
210000,00:03:30,1023.000,993.000,76.000,6.276,4.800,30.000
240000,00:04:00,1023.000,992.000,74.000,6.276,4.900,30.000
270000,00:04:30,1023.000,992.000,72.000,6.276,4.800,30.000
300000,00:05:00,1023.000,995.000,70.000,6.288,4.800,32.000
330000,00:05:30,1023.000,995.000,68.000,6.292,4.800,30.000
360000,00:06:00,1023.000,997.000,66.000,6.292,4.900,30.000
390000,00:06:30,1023.000,998.000,64.000,6.292,4.500,30.000
420000,00:07:00,1023.000,1000.000,62.000,6.304,4.800,30.000
450000,00:07:30,1023.000,1002.000,60.000,6.304,4.700,30.000
480000,00:08:00,1023.000,1002.000,58.000,6.300,4.600,30.000
510000,00:08:30,1023.000,1002.000,56.000,6.292,4.600,30.000
540000,00:09:00,1023.000,1001.000,54.000,6.288,4.700,30.000
570000,00:09:30,1023.000,1001.000,52.000,6.296,5.000,30.000
600000,00:10:00,1023.000,1003.000,50.000,6.300,4.500,30.000
630000,00:10:30,1023.000,1003.000,48.000,6.288,4.800,30.000
660000,00:11:00,1023.000,1004.000,46.000,6.292,4.600,30.000
690000,00:11:30,1023.000,1007.000,44.000,6.296,4.800,30.000
720000,00:12:00,1023.000,1010.000,44.000,6.304,4.400,26.000
750000,00:12:30,1023.000,1011.000,44.000,6.304,4.600,30.000
780000,00:13:00,1023.000,1011.000,44.000,6.304,4.700,30.000
810000,00:13:30,1023.000,1012.000,44.000,6.308,4.700,30.000
840000,00:14:00,1023.000,1011.000,44.000,6.304,4.400,26.000
870000,00:14:30,1023.000,1009.000,44.000,6.296,4.900,30.000
900000,00:15:00,1023.000,1006.000,42.000,6.296,4.700,30.000
930000,00:15:30,1023.000,1003.000,40.000,6.292,4.700,30.000
960000,00:16:00,1023.000,1002.000,38.000,6.292,4.700,30.000
990000,00:16:30,1023.000,1003.000,36.000,6.296,4.700,30.000
1020000,00:17:00,1023.000,1005.000,34.000,6.296,4.700,30.000
1050000,00:17:30,1023.000,1009.000,34.000,6.308,4.700,30.000
1080000,00:18:00,1023.000,1010.000,34.000,6.304,4.700,30.000
1110000,00:18:30,1023.000,1010.000,34.000,6.304,4.600,30.000
1140000,00:19:00,1023.000,1008.000,34.000,6.300,4.800,30.000
1170000,00:19:30,1023.000,1007.000,32.000,6.296,4.800,30.000
1200000,00:20:00,1023.000,1007.000,30.000,6.296,4.700,30.000
1230000,00:20:30,1023.000,1008.000,30.000,6.304,4.800,30.000
1260000,00:21:00,1023.000,1008.000,30.000,6.296,4.800,30.000
1290000,00:21:30,1023.000,1008.000,30.000,6.308,5.000,30.000
1320000,00:22:00,1023.000,1010.000,30.000,6.316,4.800,30.000
1350000,00:22:30,1023.000,1011.000,30.000,6.320,4.900,30.000
1380000,00:23:00,1023.000,1012.000,30.000,6.320,4.700,30.000
1410000,00:23:30,1023.000,1011.000,30.000,6.308,5.000,32.000
1440000,00:24:00,1023.000,1010.000,30.000,6.300,4.600,30.000
1470000,00:24:30,1023.000,1010.000,30.000,6.296,4.600,30.000
1500000,00:25:00,1023.000,1012.000,30.000,6.292,4.600,30.000
1530000,00:25:30,1023.000,1014.000,30.000,6.292,4.600,30.000
1560000,00:26:00,1023.000,1017.000,30.000,6.300,4.700,30.000
1590000,00:26:30,1023.000,1020.000,30.000,6.300,4.700,30.000
1620000,00:27:00,1023.000,1022.000,30.000,6.308,4.700,30.000
1650000,00:27:30,1023.000,1023.000,30.000,6.304,4.500,30.000
1680000,00:28:00,1023.000,1023.000,30.000,6.304,4.800,30.000
1710000,00:28:30,1023.000,1023.000,30.000,6.300,4.800,30.000
1740000,00:29:00,1023.000,1023.000,30.000,6.304,4.700,30.000
1770000,00:29:30,1023.000,1023.000,30.000,6.320,5.000,30.000
1800000,00:30:00,1023.000,1023.000,30.000,6.336,5.100,30.000
1830000,00:30:30,1023.000,1023.000,30.000,6.348,4.900,32.000
1860000,00:31:00,1023.000,1023.000,30.000,6.344,4.800,30.000
1890000,00:31:30,1023.000,1023.000,30.000,6.344,4.900,32.000
1920000,00:32:00,1023.000,1023.000,30.000,6.348,5.000,32.000
1950000,00:32:30,1023.000,1023.000,30.000,6.340,5.000,32.000
1980000,00:33:00,1023.000,1023.000,30.000,6.356,4.700,32.000
2010000,00:33:30,1023.000,1023.000,30.000,6.348,4.600,30.000
2040000,00:34:00,1023.000,1023.000,30.000,6.336,4.700,30.000
2070000,00:34:30,1023.000,1023.000,30.000,6.336,4.800,30.000
2100000,00:35:00,1023.000,1023.000,30.000,6.328,4.800,30.000
2130000,00:35:30,1023.000,1023.000,30.000,6.328,4.800,30.000
2160000,00:36:00,1023.000,1023.000,30.000,6.324,4.700,30.000
2190000,00:36:30,1023.000,1023.000,30.000,6.324,4.900,30.000
2220000,00:37:00,1023.000,1023.000,30.000,6.324,4.600,30.000
2250000,00:37:30,1023.000,1023.000,30.000,6.320,4.700,30.000
2280000,00:38:00,1023.000,1023.000,30.000,6.320,4.900,30.000
2310000,00:38:30,1023.000,1023.000,30.000,6.332,4.800,30.000
2340000,00:39:00,1023.000,1023.000,30.000,6.336,4.800,30.000
2370000,00:39:30,1023.000,1023.000,30.000,6.336,4.800,30.000
2400000,00:40:00,1023.000,1023.000,30.000,6.328,4.800,30.000
2430000,00:40:30,1023.000,1023.000,30.000,6.320,4.600,30.000
2460000,00:41:00,1023.000,1023.000,30.000,6.328,5.000,32.000
2490000,00:41:30,1023.000,1023.000,30.000,6.320,4.700,30.000
2520000,00:42:00,1023.000,1023.000,30.000,6.316,4.800,30.000
2550000,00:42:30,1023.000,1023.000,30.000,6.312,4.700,30.000
2580000,00:43:00,1023.000,1023.000,30.000,6.316,4.600,30.000
2610000,00:43:30,1023.000,1023.000,30.000,6.320,4.900,30.000
2640000,00:44:00,1023.000,1023.000,30.000,6.312,4.800,30.000
2670000,00:44:30,1023.000,1023.000,30.000,6.300,4.700,30.000
2700000,00:45:00,985.000,1007.000,32.000,6.008,4.400,26.000
2730000,00:45:30,1023.000,1023.000,32.000,6.236,4.600,30.000
2760000,00:46:00,933.000,962.000,34.000,5.788,4.600,26.000
2790000,00:46:30,935.000,965.000,36.000,5.812,3.900,26.000
2820000,00:47:00,947.000,979.000,38.000,5.892,4.300,26.000
2850000,00:47:30,941.000,976.000,40.000,5.884,4.500,26.000
2880000,00:48:00,937.000,973.000,42.000,5.876,4.400,26.000
2910000,00:48:30,943.000,975.000,44.000,5.884,4.300,26.000
2940000,00:49:00,934.000,970.000,46.000,5.868,4.500,26.000
2970000,00:49:30,929.000,967.000,48.000,5.856,4.000,26.000
3000000,00:50:00,931.000,973.000,50.000,5.884,4.300,26.000
3030000,00:50:30,936.000,982.000,52.000,5.924,4.400,26.000
3060000,00:51:00,946.000,1000.000,54.000,5.992,4.400,26.000
3090000,00:51:30,959.000,1020.000,56.000,6.088,4.300,30.000
3120000,00:52:00,944.000,1004.000,58.000,6.020,4.600,26.000
3150000,00:52:30,947.000,999.000,60.000,6.012,4.400,26.000
3180000,00:53:00,961.000,1006.000,62.000,6.044,4.600,26.000
3210000,00:53:30,975.000,1020.000,64.000,6.108,4.800,30.000
3240000,00:54:00,1023.000,1023.000,64.000,6.468,4.700,30.000
3270000,00:54:30,1023.000,1023.000,64.000,6.608,4.900,32.000
3300000,00:55:00,1023.000,1023.000,64.000,6.572,4.900,32.000
3330000,00:55:30,1023.000,1023.000,64.000,6.536,4.900,32.000
3360000,00:56:00,1023.000,1023.000,64.000,6.504,4.800,32.000
3390000,00:56:30,1023.000,1023.000,64.000,6.484,5.000,32.000
3420000,00:57:00,1023.000,1023.000,64.000,6.464,4.900,32.000
3450000,00:57:30,1023.000,1023.000,64.000,6.436,5.000,32.000
3480000,00:58:00,1018.000,1023.000,64.000,6.416,5.000,30.000
3510000,00:58:30,1013.000,1023.000,64.000,6.404,4.900,32.000
3540000,00:59:00,1011.000,1023.000,64.000,6.384,4.900,30.000
3570000,00:59:30,1009.000,1023.000,64.000,6.368,4.800,30.000
3600000,01:00:00,1008.000,1023.000,64.000,6.356,4.800,30.000
3630000,01:00:30,1007.000,1023.000,66.000,6.340,4.700,30.000
3660000,01:01:00,1008.000,1023.000,66.000,6.332,4.800,30.000
3690000,01:01:30,1007.000,1023.000,68.000,6.328,4.800,30.000
3720000,01:02:00,1008.000,1023.000,68.000,6.328,4.900,30.000
3750000,01:02:30,1008.000,1023.000,68.000,6.336,4.900,30.000
3780000,01:03:00,1006.000,1023.000,70.000,6.324,4.700,30.000
3810000,01:03:30,1005.000,1023.000,72.000,6.316,4.900,30.000
3840000,01:04:00,1007.000,1023.000,74.000,6.304,4.500,30.000
3870000,01:04:30,1008.000,1023.000,74.000,6.304,4.600,30.000
3900000,01:05:00,1011.000,1023.000,74.000,6.308,4.800,30.000
3930000,01:05:30,1012.000,1023.000,74.000,6.304,4.600,30.000
3960000,01:06:00,1009.000,1023.000,74.000,6.304,4.800,30.000
3990000,01:06:30,1008.000,1023.000,74.000,6.296,4.800,30.000
4020000,01:07:00,1006.000,1023.000,76.000,6.288,4.800,30.000
4050000,01:07:30,1006.000,1023.000,78.000,6.284,4.800,30.000
4080000,01:08:00,1006.000,1023.000,80.000,6.280,4.800,30.000
4110000,01:08:30,1007.000,1023.000,82.000,6.272,4.800,30.000
4140000,01:09:00,1007.000,1023.000,84.000,6.272,4.600,30.000
4170000,01:09:30,1007.000,1023.000,86.000,6.276,4.700,30.000
4200000,01:10:00,1008.000,1023.000,86.000,6.280,4.800,30.000
4230000,01:10:30,1010.000,1023.000,86.000,6.284,4.900,30.000
4260000,01:11:00,1012.000,1023.000,86.000,6.304,5.100,32.000
4290000,01:11:30,1014.000,1023.000,86.000,6.304,4.900,30.000
4320000,01:12:00,1015.000,1023.000,86.000,6.300,4.700,30.000
4350000,01:12:30,1015.000,1023.000,86.000,6.292,5.000,32.000
4380000,01:13:00,1016.000,1023.000,86.000,6.288,4.500,30.000
4410000,01:13:30,1018.000,1023.000,86.000,6.292,4.600,30.000
4440000,01:14:00,1015.000,1023.000,86.000,6.280,4.900,30.000
4470000,01:14:30,1012.000,1023.000,86.000,6.276,4.900,30.000
4500000,01:15:00,1010.000,1023.000,86.000,6.268,4.800,30.000
4530000,01:15:30,1009.000,1023.000,86.000,6.260,4.800,30.000
4560000,01:16:00,1008.000,1023.000,86.000,6.252,4.600,30.000
4590000,01:16:30,1007.000,1023.000,88.000,6.244,4.500,30.000
4620000,01:17:00,1006.000,1023.000,90.000,6.244,4.700,30.000
4650000,01:17:30,1008.000,1023.000,90.000,6.244,4.400,30.000
4680000,01:18:00,1010.000,1023.000,90.000,6.248,4.500,30.000
4710000,01:18:30,1011.000,1023.000,90.000,6.244,4.600,30.000
4740000,01:19:00,1012.000,1023.000,90.000,6.244,4.700,26.000
4770000,01:19:30,1012.000,1023.000,90.000,6.232,4.700,30.000
4800000,01:20:00,1012.000,1023.000,90.000,6.228,4.500,30.000
4830000,01:20:30,1012.000,1023.000,90.000,6.220,4.600,30.000
4860000,01:21:00,1013.000,1023.000,90.000,6.232,4.600,30.000
4890000,01:21:30,1013.000,1023.000,90.000,6.236,4.700,30.000
4920000,01:22:00,1014.000,1023.000,90.000,6.240,4.900,30.000
4950000,01:22:30,1015.000,1023.000,90.000,6.256,4.800,30.000
4980000,01:23:00,1015.000,1023.000,90.000,6.260,4.600,32.000
5010000,01:23:30,1014.000,1023.000,90.000,6.264,4.600,30.000
5040000,01:24:00,1014.000,1023.000,90.000,6.260,4.500,30.000
5070000,01:24:30,1014.000,1023.000,90.000,6.256,4.800,30.000
5100000,01:25:00,1016.000,1023.000,90.000,6.256,4.700,30.000
5130000,01:25:30,1018.000,1023.000,90.000,6.256,4.700,30.000
5160000,01:26:00,1020.000,1023.000,90.000,6.268,4.600,30.000
5190000,01:26:30,1022.000,1023.000,90.000,6.272,4.900,30.000
5220000,01:27:00,1023.000,1023.000,90.000,6.276,4.800,30.000
5250000,01:27:30,1023.000,1023.000,90.000,6.264,4.700,30.000
5280000,01:28:00,1023.000,1023.000,90.000,6.284,4.500,30.000
5310000,01:28:30,1023.000,1023.000,90.000,6.276,4.800,30.000
5340000,01:29:00,1023.000,1023.000,90.000,6.276,4.800,30.000
5370000,01:29:30,1023.000,1023.000,90.000,6.276,4.500,30.000
5400000,01:30:00,1023.000,1023.000,90.000,6.280,4.600,30.000
5430000,01:30:30,1023.000,1023.000,90.000,6.272,4.700,30.000
5460000,01:31:00,1023.000,1023.000,90.000,6.272,4.400,30.000
5490000,01:31:30,1023.000,1023.000,90.000,6.276,4.800,30.000
5520000,01:32:00,1023.000,1023.000,90.000,6.288,4.700,30.000
5550000,01:32:30,1023.000,1023.000,90.000,6.284,4.900,30.000
5580000,01:33:00,1023.000,1023.000,90.000,6.276,4.900,30.000
5610000,01:33:30,1019.000,1023.000,90.000,6.228,4.800,30.000
5640000,01:34:00,1023.000,1023.000,90.000,6.260,4.900,30.000
5670000,01:34:30,1023.000,1023.000,90.000,6.264,4.800,30.000
5700000,01:35:00,1023.000,1023.000,90.000,6.260,4.600,30.000
5730000,01:35:30,1005.000,1023.000,92.000,6.152,4.700,30.000
